benchmark_name,workload_name,round_1_time,round_1_param,round_2_time,round_2_param,round_3_time,round_3_param,round_4_time,round_4_param,round_5_time,round_5_param,round_6_time,round_6_param,round_7_time,round_7_param,round_8_time,round_8_param,round_9_time,round_9_param,round_10_time,round_10_param,round_11_time,round_11_param,round_12_time,round_12_param,round_13_time,round_13_param,round_14_time,round_14_param,round_15_time,round_15_param,round_16_time,round_16_param
opencv_benchmark,background_sub,322.772,workload: --size 1080 --threads 19; setup: --compiler clang --opt -O2,81.037,workload: --size 540 --threads 25; setup: --compiler clang --opt -O1,139.024,workload: --size 720 --threads 21; setup: --compiler gcc --opt -O2,284.06,workload: --size 1020 --threads 29; setup: --compiler gcc --opt -O3,123.339,workload: --size 660 --threads 45; setup: --compiler gcc --opt -O2,283.595,workload: --size 1020 --threads 36; setup: --compiler gcc --opt -O1,222.685,workload: --size 780 --threads 56; setup: --compiler clang --opt -O3,259.84,workload: --size 960 --threads 41; setup: --compiler gcc --opt -O1,278.239,workload: --size 900 --threads 61; setup: --compiler clang --opt -O2,112.02,workload: --size 600 --threads 56; setup: --compiler gcc --opt -O3,80.846,workload: --size 540 --threads 17; setup: --compiler clang --opt -O2,275.951,workload: --size 960 --threads 45; setup: --compiler clang --opt -O2,206.701,workload: --size 900 --threads 15; setup: --compiler gcc --opt -O2,156.124,workload: --size 720 --threads 47; setup: --compiler gcc --opt -O3,325.374,workload: --size 900 --threads 60; setup: --compiler clang --opt -O3,226.98,workload: --size 900 --threads 32; setup: --compiler clang --opt -O3
opencv_benchmark,canny,214.826,workload: --size 1251 --threads 32; ,173.873,workload: --size 1137 --threads 55; ,512.857,workload: --size 2048 --threads 2; ,156.084,workload: --size 1137 --threads 4; ,199.676,workload: --size 1251 --threads 6; ,393.076,workload: --size 1706 --threads 25; ,143.984,workload: --size 1024 --threads 61; ,283.956,workload: --size 1479 --threads 9; ,250.065,workload: --size 1365 --threads 29; ,582.745,workload: --size 2048 --threads 53; ,142.538,workload: --size 1024 --threads 46; ,570.871,workload: --size 2048 --threads 17; ,388.654,workload: --size 1706 --threads 31; ,143.074,workload: --size 1024 --threads 36; ,177.682,workload: --size 1137 --threads 19; ,337.397,workload: --size 1592 --threads 25; 
opencv_benchmark,color_tracking,178.199,workload: --size 1680 --threads 55; ,184.337,workload: --size 1920 --threads 36; ,220.545,workload: --size 2160 --threads 10; ,97.89,workload: --size 1320 --threads 32; ,79.799,workload: --size 1200 --threads 32; ,135.052,workload: --size 1560 --threads 30; ,84.638,workload: --size 1200 --threads 53; ,195.465,workload: --size 1920 --threads 37; ,313.093,workload: --size 2160 --threads 60; ,118.34,workload: --size 1440 --threads 59; ,150.23,workload: --size 1560 --threads 51; ,268.509,workload: --size 2160 --threads 40; ,108.124,workload: --size 1440 --threads 38; ,119.731,workload: --size 1560 --threads 15; ,139.148,workload: --size 1680 --threads 41; ,165.459,workload: --size 1680 --threads 57; 
opencv_benchmark,conv_heavy,132.087,workload: --size 682 --threads 29; ,100.895,workload: --size 625 --threads 10; ,345.79,workload: --size 1024 --threads 48; ,91.039,workload: --size 512 --threads 59; ,176.155,workload: --size 796 --threads 20; ,96.773,workload: --size 568 --threads 39; ,138.704,workload: --size 739 --threads 14; ,288.484,workload: --size 910 --threads 56; ,139.55,workload: --size 739 --threads 15; ,273.257,workload: --size 1024 --threads 13; ,157.078,workload: --size 796 --threads 3; ,169.179,workload: --size 796 --threads 17; ,172.07,workload: --size 739 --threads 46; ,265.936,workload: --size 853 --threads 64; ,223.031,workload: --size 910 --threads 17; ,69.707,workload: --size 512 --threads 20; 
opencv_benchmark,feature_match,221.338,workload: --size 739 --threads 52; ,155.612,workload: --size 568 --threads 60; ,372.05,workload: --size 1024 --threads 20; ,423.117,workload: --size 1024 --threads 61; ,282.397,workload: --size 853 --threads 26; ,254.517,workload: --size 796 --threads 47; ,190.434,workload: --size 682 --threads 43; ,324.8,workload: --size 910 --threads 30; ,234.722,workload: --size 796 --threads 39; ,254.123,workload: --size 796 --threads 52; ,201.45,workload: --size 739 --threads 6; ,371.496,workload: --size 1024 --threads 49; ,409.246,workload: --size 1024 --threads 55; ,130.233,workload: --size 568 --threads 4; ,141.371,workload: --size 568 --threads 45; ,123.302,workload: --size 512 --threads 41; 
opencv_benchmark,fft_batch,155.915,workload: --size 625 --threads 47; ,326.608,workload: --size 967 --threads 32; ,85.491,workload: --size 512 --threads 5; ,205.808,workload: --size 739 --threads 10; ,230.537,workload: --size 853 --threads 3; ,172.05,workload: --size 682 --threads 23; ,167.515,workload: --size 682 --threads 42; ,161.058,workload: --size 682 --threads 12; ,357.018,workload: --size 1024 --threads 53; ,157.731,workload: --size 625 --threads 54; ,222.526,workload: --size 796 --threads 56; ,204.021,workload: --size 796 --threads 43; ,136.939,workload: --size 625 --threads 1; ,211.554,workload: --size 796 --threads 24; ,319.775,workload: --size 910 --threads 52; ,248.015,workload: --size 853 --threads 54; 
opencv_benchmark,jacobi,244.871,workload: --size 1024 --threads 18; ,655.127,workload: --size 2048 --threads 18; ,896.11,workload: --size 1137 --threads 55; ,272.16,workload: --size 1024 --threads 19; ,758.563,workload: --size 1706 --threads 9; ,761.935,workload: --size 1820 --threads 13; ,233.918,workload: --size 2048 --threads 12; ,755.171,workload: --size 1934 --threads 5; ,278.319,workload: --size 1137 --threads 42; ,320.108,workload: --size 1365 --threads 30; ,254.5,workload: --size 1479 --threads 30; ,290.882,workload: --size 2048 --threads 51; ,746.577,workload: --size 1934 --threads 3; ,318.242,workload: --size 1592 --threads 41; ,286.595,workload: --size 2048 --threads 44; ,239.08,workload: --size 1479 --threads 15; 
opencv_benchmark,mandelbrot,528.222,workload: --size 739 --threads 34; ,536.309,workload: --size 682 --threads 58; ,536.355,workload: --size 853 --threads 57; ,527.463,workload: --size 796 --threads 26; ,527.807,workload: --size 682 --threads 29; ,529.542,workload: --size 910 --threads 37; ,538.213,workload: --size 1024 --threads 63; ,538.42,workload: --size 739 --threads 63; ,497.63,workload: --size 910 --threads 4; ,538.205,workload: --size 967 --threads 58; ,533.578,workload: --size 1024 --threads 49; ,530.296,workload: --size 910 --threads 40; ,539.082,workload: --size 967 --threads 64; ,536.506,workload: --size 739 --threads 51; ,526.945,workload: --size 853 --threads 27; ,499.666,workload: --size 625 --threads 5; 
opencv_benchmark,motion_blur,195.686,workload: --size 1592 --threads 18; ,148.199,workload: --size 1251 --threads 57; ,123.038,workload: --size 1137 --threads 19; ,132.062,workload: --size 1137 --threads 54; ,328.279,workload: --size 1934 --threads 31; ,212.302,workload: --size 1479 --threads 2; ,96.647,workload: --size 1137 --threads 21; ,309.589,workload: --size 1934 --threads 13; ,179.178,workload: --size 1479 --threads 18; ,119.408,workload: --size 1024 --threads 41; ,107.276,workload: --size 1024 --threads 59; ,128.116,workload: --size 1251 --threads 12; ,120.465,workload: --size 1024 --threads 31; ,312.192,workload: --size 1706 --threads 50; ,270.282,workload: --size 1934 --threads 48; ,342.471,workload: --size 2048 --threads 53; 
opencv_benchmark,optical_flow,388.786,workload: --size 853 --threads 34; ,202.038,workload: --size 568 --threads 24; ,270.031,workload: --size 682 --threads 15; ,292.817,workload: --size 739 --threads 6; ,240.718,workload: --size 682 --threads 4; ,1383.383,workload: --size 1024 --threads 38; ,1429.482,workload: --size 1024 --threads 45; ,414.143,workload: --size 853 --threads 31; ,310.735,workload: --size 853 --threads 9; ,389.411,workload: --size 682 --threads 44; ,195.217,workload: --size 625 --threads 10; ,411.783,workload: --size 910 --threads 11; ,247.254,workload: --size 625 --threads 19; ,482.633,workload: --size 796 --threads 32; ,301.555,workload: --size 625 --threads 41; ,307.62,workload: --size 853 --threads 3; 
