benchmark_name,workload_name,round_1_time,round_1_param,round_2_time,round_2_param,round_3_time,round_3_param,round_4_time,round_4_param,round_5_time,round_5_param,round_6_time,round_6_param,round_7_time,round_7_param,round_8_time,round_8_param,round_9_time,round_9_param,round_10_time,round_10_param,round_11_time,round_11_param,round_12_time,round_12_param,round_13_time,round_13_param,round_14_time,round_14_param,round_15_time,round_15_param,round_16_time,round_16_param
esbuild_benchmark,ThreeJS,313.4075,data: --complexity 1555; workload: --threads 20;,321.77,data: --complexity 1888; workload: --threads 31;,262.0336,data: --complexity 1555; workload: --threads 47;,265.2675,data: --complexity 1666; workload: --threads 32;,249.2084,data: --complexity 1666; workload: --threads 60;,361.9231,data: --complexity 2000; workload: --threads 38;,228.6758,data: --complexity 1111; workload: --threads 52;,804.6885,data: --complexity 1888; workload: --threads 4;,476.7281,data: --complexity 2000; workload: --threads 15;,318.3011,data: --complexity 1444; workload: --threads 20;,230.0684,data: --complexity 1111; workload: --threads 54;,299.7441,data: --complexity 1444; workload: --threads 40;,551.2684,data: --complexity 1888; workload: --threads 9;,376.7287,data: --complexity 1777; workload: --threads 28;,303.8863,data: --complexity 1222; workload: --threads 16;,308.4839,data: --complexity 1444; workload: --threads 18;
esbuild_benchmark,RomeTS,1428.8187,data: --complexity 1555; workload: --threads 21;,1671.3038,data: --complexity 2000; workload: --threads 22;,1345.121,data: --complexity 1444; workload: --threads 6;,1662.3696,data: --complexity 2000; workload: --threads 19;,1389.27,data: --complexity 1666; workload: --threads 33;,1462.1313,data: --complexity 1666; workload: --threads 17;,1223.3948,data: --complexity 1222; workload: --threads 5;,1198.8997,data: --complexity 1222; workload: --threads 6;,1002.3364,data: --complexity 1000; workload: --threads 13;,1146.5823,data: --complexity 1222; workload: --threads 61;,1166.8964,data: --complexity 1222; workload: --threads 38;,1331.5743,data: --complexity 1444; workload: --threads 24;,1202.555,data: --complexity 1111; workload: --threads 3;,1536.9277,data: --complexity 1777; workload: --threads 37;,1152.8681,data: --complexity 1222; workload: --threads 35;,1044.9607,data: --complexity 1111; workload: --threads 27;
gc_garbage,gc_garbage,3841.0388,data: --size 100000; workload: --threads 55;,1899.2456,data: --size 83333; workload: --threads 53;,1433.4966,data: --size 66666; workload: --threads 46;,885.6815,data: --size 94444; workload: --threads 1;,2155.4259,data: --size 100000; workload: --threads 48;,1921.7387,data: --size 77777; workload: --threads 63;,1192.1526,data: --size 50000; workload: --threads 59;,1121.5203,data: --size 55555; workload: --threads 42;,1802.0665,data: --size 100000; workload: --threads 31;,762.0906,data: --size 55555; workload: --threads 9;,735.2427,data: --size 50000; workload: --threads 15;,1736.5713,data: --size 100000; workload: --threads 28;,1604.9813,data: --size 72222; workload: --threads 50;,1919.2848,data: --size 77777; workload: --threads 63;,1993.2932,data: --size 83333; workload: --threads 58;,1691.5851,data: --size 83333; workload: --threads 42;
go_compiler,go_compiler,680.6826,data: --complex 144; workload: --threads 9;,288.9897,data: --complex 133; workload: --threads 63;,517.0216,data: --complex 155; workload: --threads 27;,198.3363,data: --complex 111; workload: --threads 14;,133.824,data: --complex 100; workload: --threads 22;,155.9885,data: --complex 100; workload: --threads 14;,711.1095,data: --complex 166; workload: --threads 12;,547.0296,data: --complex 144; workload: --threads 8;,958.6261,data: --complex 177; workload: --threads 18;,166.1219,data: --complex 100; workload: --threads 12;,168.8822,data: --complex 111; workload: --threads 52;,138.627,data: --complex 100; workload: --threads 44;,166.607,data: --complex 111; workload: --threads 61;,1195.8113,data: --complex 188; workload: --threads 26;,1163.1677,data: --complex 188; workload: --threads 32;,1062.0573,data: --complex 188; workload: --threads 62;
gopher_lua,gopher_lua,1116.5162,data: --size 500000; workload: --threads 50;,1988.5074,data: --size 944444; workload: --threads 62;,1030.699,data: --size 666666; workload: --threads 32;,1453.0106,data: --size 833333; workload: --threads 55;,1475.4631,data: --size 1000000; workload: --threads 15;,780.6165,data: --size 888888; workload: --threads 2;,1437.7409,data: --size 888888; workload: --threads 41;,1275.3186,data: --size 833333; workload: --threads 38;,1265.6353,data: --size 722222; workload: --threads 50;,791.3371,data: --size 611111; workload: --threads 11;,1164.5904,data: --size 944444; workload: --threads 3;,1443.9883,data: --size 777777; workload: --threads 63;,709.6351,data: --size 611111; workload: --threads 6;,983.8524,data: --size 722222; workload: --threads 16;,755.73,data: --size 500000; workload: --threads 19;,1555.2464,data: --size 888888; workload: --threads 49;
go_json,json,1677.4379,data: --size 44444; workload: --threads 49;,1160.1753,data: --size 33333; workload: --threads 28;,1162.8472,data: --size 36111; workload: --threads 14;,1703.6418,data: --size 50000; workload: --threads 29;,1387.9128,data: --size 41666; workload: --threads 21;,1369.7105,data: --size 38888; workload: --threads 37;,1724.0693,data: --size 50000; workload: --threads 33;,1407.4379,data: --size 38888; workload: --threads 46;,1253.8054,data: --size 33333; workload: --threads 59;,787.1247,data: --size 25000; workload: --threads 12;,1200.0122,data: --size 33333; workload: --threads 42;,1604.3038,data: --size 47222; workload: --threads 25;,1327.9536,data: --size 36111; workload: --threads 50;,908.531,data: --size 27777; workload: --threads 18;,879.9102,data: --size 27777; workload: --threads 13;,1670.5731,data: --size 47222; workload: --threads 41;
go_markdown,markdown_render,3990.573,data: --size 944; workload: --threads 60;,2639.9925,data: --size 722; workload: --threads 52;,2664.2734,data: --size 833; workload: --threads 46;,1168.0867,data: --size 666; workload: --threads 23;,2460.0154,data: --size 888; workload: --threads 40;,2661.0096,data: --size 611; workload: --threads 61;,2586.4664,data: --size 888; workload: --threads 42;,3146.9256,data: --size 944; workload: --threads 48;,3309.2984,data: --size 1000; workload: --threads 48;,3047.0031,data: --size 777; workload: --threads 56;,1347.6703,data: --size 833; workload: --threads 22;,1232.5988,data: --size 555; workload: --threads 29;,2973.236,data: --size 888; workload: --threads 48;,872.9575,data: --size 833; workload: --threads 10;,832.2742,data: --size 944; workload: --threads 7;,1242.1275,data: --size 722; workload: --threads 23;
tile38_sim,kdtree,528.025214,workload: --points 55555 --threads 33;,1107.122392,workload: --points 83333 --threads 8;,908.981482,workload: --points 61111 --threads 53;,1805.733447,workload: --points 72222 --threads 60;,378.962122,workload: --points 50000 --threads 14;,3320.783896,workload: --points 88888 --threads 62;,857.496631,workload: --points 72222 --threads 15;,1644.00909,workload: --points 72222 --threads 56;,2103.584604,workload: --points 77777 --threads 54;,760.202434,workload: --points 66666 --threads 13;,2716.44843,workload: --points 83333 --threads 59;,877.991358,workload: --points 72222 --threads 18;,2660.445938,workload: --points 94444 --threads 33;,711.792606,workload: --points 55555 --threads 58;,739.134583,workload: --points 61111 --threads 38;,4332.836438,workload: --points 100000 --threads 59;
cassandra_benchmark,cassandra_stress_read,1283.0011,workload: --read-n 1666666 --threads 2;,216.5211,workload: --read-n 1555555 --threads 22;,203.7782,workload: --read-n 1444444 --threads 20;,261.9763,workload: --read-n 1000000 --threads 7;,752.7009,workload: --read-n 1555555 --threads 4;,198.3329,workload: --read-n 1333333 --threads 57;,152.2725,workload: --read-n 1000000 --threads 52;,146.1418,workload: --read-n 1000000 --threads 19;,185.6149,workload: --read-n 1333333 --threads 20;,282.6771,workload: --read-n 2000000 --threads 48;,249.3898,workload: --read-n 1777777 --threads 47;,243.5833,workload: --read-n 1777777 --threads 20;,799.7063,workload: --read-n 1222222 --threads 3;,233.6285,workload: --read-n 1666666 --threads 23;,210.0156,workload: --read-n 1444444 --threads 50;,279.4499,workload: --read-n 2000000 --threads 44;
kafka_benchmark,kafka_producer_perf,191.4613,workload: --num-records 777777777 --threads 15;,120.5566,workload: --num-records 1244444444 --threads 49;,182.1627,workload: --num-records 1244444444 --threads 31;,166.3757,workload: --num-records 1166666666 --threads 32;,125.1284,workload: --num-records 1011111111 --threads 40;,119.1635,workload: --num-records 1088888888 --threads 44;,2983.8485,workload: --num-records 933333333 --threads 1;,147.534,workload: --num-records 1011111111 --threads 32;,89.791,workload: --num-records 933333333 --threads 54;,239.8215,workload: --num-records 1088888888 --threads 17;,318.5034,workload: --num-records 1088888888 --threads 12;,437.5584,workload: --num-records 1244444444 --threads 10;,122.6919,workload: --num-records 1166666666 --threads 46;,124.3247,workload: --num-records 1400000000 --threads 57;,83.0921,workload: --num-records 855555555 --threads 54;,88.8988,workload: --num-records 777777777 --threads 46;
